Title,Published Date,URL,Section,Byline
"Jenny, Don’t Change Your Number; You Might Want to Sell It on eBay",2009-02-01T00:00:18+0000,https://www.nytimes.com/2009/02/01/nyregion/01towns.html,New York,By Peter Applebome
"What’s $150,000 in a Crisis?",2009-02-01T00:01:15+0000,https://dealbook.nytimes.com/2009/01/31/whats-150000-in-a-crisis/,Business Day,By Dealbook
"For Weiner, Politics Isn’t Enough of a Contact Sport",2009-02-01T00:14:57+0000,https://www.nytimes.com/2009/02/01/nyregion/01weiner.html,New York,By David W. Chen
"Faced With Fiscal Adversity, Governors Try to Embrace It",2009-02-01T00:16:06+0000,https://www.nytimes.com/2009/02/01/us/01states.html,U.S.,By William Yardley
"Before Their Eyes, Writers Profane and Very Much Alive",2009-02-01T00:20:39+0000,https://www.nytimes.com/2009/02/01/nyregion/01writers.html,New York,By Amanda M. Fairbanks
Examining Human Error in Wrongful Convictions,2009-02-01T00:23:34+0000,https://www.nytimes.com/2009/02/01/nyregion/01wrongful.html,New York,By Manny Fernandez
Search Service on Google Briefly Fails,2009-02-01T00:24:59+0000,https://www.nytimes.com/2009/02/01/technology/internet/01google.html,Technology,By LIZ ROBBINS
"A Chance to Excel on the Court, and Off",2009-02-01T00:31:10+0000,https://www.nytimes.com/2009/02/01/nyregion/01neediest.html,New York,By Abby Aguirre
"On Own Terms, Fans Gather to Say Goodbye to Shea",2009-02-01T01:00:41+0000,https://bats.blogs.nytimes.com/2009/01/31/on-own-terms-fans-gather-to-say-goodbye-to-shea/,Sports,By Joshua
"A Week of Parties, With a Game at the End",2009-02-01T01:06:49+0000,https://fifthdown.blogs.nytimes.com/2009/01/31/a-week-of-parties-with-a-game-at-the-end/,Sports,By Greg Bishop
Daschle Knew of Tax Issues Over Car Use Last June,2009-02-01T01:13:58+0000,https://www.nytimes.com/2009/02/01/us/politics/01daschle.html,U.S.,By Sheryl Gay Stolberg and Robert Pear
Corrections,2009-02-01T01:47:27+0000,https://www.nytimes.com/2009/02/01/pageoneplus/corrections.html,Corrections,
Hofstra Honors Claxton but Loses to Virginia Commonwealth,2009-02-01T01:48:47+0000,https://www.nytimes.com/2009/02/01/sports/ncaabasketball/01hofstra.html,Sports,By Brian Heyman
The Nativists Are Restless,2009-02-01T01:49:40+0000,https://www.nytimes.com/2009/02/01/opinion/01sun1.html,Opinion,
Your E-Health Records,2009-02-01T01:49:45+0000,https://www.nytimes.com/2009/02/01/opinion/01sun2.html,Opinion,
"Save the Banker, Save the World",2009-02-01T01:49:51+0000,https://www.nytimes.com/2009/02/01/opinion/01sun3.html,Opinion,By Eduardo Porter
Other Voices: The Goal Should Be Telling the Truth,2009-02-01T01:49:55+0000,https://www.nytimes.com/2009/02/01/opinion/01pubedlet.html,Opinion,By Clark Hoyt
Toward a More Secure Retirement,2009-02-01T01:49:58+0000,https://www.nytimes.com/2009/02/01/opinion/l01retire.html,Opinion,
Filling a Senate Seat,2009-02-01T01:50:03+0000,https://www.nytimes.com/2009/02/01/opinion/l01senator.html,Opinion,
Emptiness at Auschwitz: Preserve the Holocaust Sites,2009-02-01T01:50:08+0000,https://www.nytimes.com/2009/02/01/opinion/lweb01holocaust.html,Opinion,
Clean Air in California,2009-02-01T01:50:13+0000,https://www.nytimes.com/2009/02/01/opinion/lweb01climate.html,Opinion,
Herbert Hoover Lives,2009-02-01T01:50:19+0000,https://www.nytimes.com/2009/02/01/opinion/01rich.html,Opinion,By Frank Rich
Elvis Has Left the Mountain,2009-02-01T01:50:24+0000,https://www.nytimes.com/2009/02/01/opinion/01friedman.html,Opinion,By Thomas L. Friedman
Obama’s Long Shot for Peace,2009-02-01T01:50:29+0000,https://www.nytimes.com/2009/02/01/opinion/01kristof.html,Opinion,By Nicholas Kristof
