Title,Published Date,URL,Section,Byline
The Makeover,2009-01-01T00:05:02+0000,https://www.nytimes.com/slideshow/2008/12/31/garden/20090101_SCHWARTZ_index.html,Home & Garden,
Exposing the Bare Bones,2009-01-01T00:05:19+0000,https://www.nytimes.com/slideshow/2008/12/31/garden/20090101_DUMAN_index.html,Home & Garden,
Times Square Spectacular,2009-01-01T00:23:05+0000,https://artsbeat.blogs.nytimes.com/2008/12/31/times-square-spectacular/,Arts,By Jennifer Schuessler
The Orchestration of the Chain Gang,2009-01-01T00:41:56+0000,https://www.nytimes.com/2009/01/01/sports/football/01chainside.html,Sports,By John Branch
Schwarzenegger Proposes Budget,2009-01-01T00:49:25+0000,https://www.nytimes.com/2009/01/01/us/01calif.html,U.S.,By Jennifer Steinhauer
"For Buyout Firms, More Pain in 2009",2009-01-01T00:56:46+0000,https://www.nytimes.com/2009/01/01/business/economy/01views.html,Business Day,
Zune’s Internal Clock Gets in a Tizzy,2009-01-01T00:56:48+0000,https://gadgetwise.blogs.nytimes.com/2008/12/31/blogs/31gadgetwise-zunes-in457.html,Blogs,By STEPHEN WILLIAMS
Zune’s Internal Clock Gets in a Tizzy,2009-01-01T00:56:48+0000,https://gadgetwise.blogs.nytimes.com/2008/12/31/zunes-internal-clock-gets-in-a-tizzy/,Technology,By Stephen Williams
Applications for Colleges Clog System,2009-01-01T00:59:05+0000,https://www.nytimes.com/2009/01/01/education/01apply.html,Education,By Tamar Lewin
Treasury Expands Possibilities for Aiding Auto Industry,2009-01-01T01:04:32+0000,https://www.nytimes.com/2009/01/01/business/economy/01tarp.html,Business Day,By Bloomberg News
"Police Patrols, With Smiles That Never Tire",2009-01-01T01:04:46+0000,https://www.nytimes.com/2009/01/01/world/asia/01thai.html,World,By Seth Mydans
"In Shaky Job Climate, Busy Days for a Public Workers’ Newspaper",2009-01-01T01:09:19+0000,https://www.nytimes.com/2009/01/01/nyregion/01chief.html,New York,By Sewell Chan
Murder Case Dropped After MetroCard Verifies Alibi,2009-01-01T01:12:18+0000,https://www.nytimes.com/2009/01/01/nyregion/01murder.html,New York,By Benjamin Weiser
Early Data Shows Holiday Sales Fell 2.3%,2009-01-01T01:16:50+0000,https://www.nytimes.com/2009/01/01/business/economy/01retail.html,Business Day,By Stephanie Rosenbloom
"With Time to Prepare, Top-Seeded Giants Adjust to Being the Hunted",2009-01-01T01:21:54+0000,https://www.nytimes.com/2009/01/01/sports/football/01giants.html,Sports,By Joe Lapointe
"From Deep Sorrows to a Clown’s Delight, and Back Again",2009-01-01T01:22:09+0000,https://www.nytimes.com/2009/01/01/nyregion/01neediest.html,New York,By Cara Buckley
"Jack D. Kuehler, Former I.B.M. President, Dies at 76",2009-01-01T01:22:54+0000,https://www.nytimes.com/2009/01/01/technology/companies/01kuehler.html,Technology,By John Markoff
Fannie Mae Seeks to Force Mortgage Buyback,2009-01-01T01:25:09+0000,https://www.nytimes.com/2009/01/01/business/01bizbriefs-FANNIEMAESEE_BRF.html,Business Day,By Bloomberg News
A Rush Into Marriage on the Last Day of the Year,2009-01-01T01:28:52+0000,https://www.nytimes.com/2009/01/01/nyregion/01marriage.html,New York,By Jennifer 8. Lee
Senate Panels Set Hearings on Selections for Cabinet,2009-01-01T01:29:49+0000,https://www.nytimes.com/2009/01/01/us/politics/01confirm.html,U.S.,By Kate Phillips
Names of the Dead,2009-01-01T01:31:59+0000,https://www.nytimes.com/2009/01/01/us/01list.html,U.S.,
Bloggingheads: What's Israel Thinking?,2009-01-01T01:32:18+0000,https://www.nytimes.com/video/opinion/1194836966228/bloggingheads-what-s-israel-thinking.html,Opinion,None None
"Driven by Instinct, Nets’ Harris Crashes Elite Rank",2009-01-01T01:32:32+0000,https://www.nytimes.com/2009/01/01/sports/basketball/01nets.html,Sports,By Jonathan Abrams
Judge Denies MGA’s Request on Bratz Dolls,2009-01-01T01:34:01+0000,https://www.nytimes.com/2009/01/01/business/01bizbriefs-JUDGEDENIESM_BRF.html,Business Day,By Bloomberg News
"The State of Courts, and a Plea for a Raise",2009-01-01T01:39:57+0000,https://www.nytimes.com/2009/01/01/washington/01legal.html,Washington,By Adam Liptak
Approval Given for New Jersey Rail Bridges,2009-01-01T01:39:57+0000,https://www.nytimes.com/2009/01/01/nyregion/01bridge.html,New York,By Ken Belson
"With Cowher Out of Mix, Jets Restructure Search",2009-01-01T01:41:51+0000,https://www.nytimes.com/2009/01/01/sports/football/01nfl.html,Sports,By Greg Bishop
Error Seen in E.P.A. Report on Contaminant,2009-01-01T01:42:16+0000,https://www.nytimes.com/2009/01/01/washington/01epa.html,Washington,By Felicity Barringer
"Green Zone, Heart of U.S. Occupation, Reverts to Iraqi Control",2009-01-01T01:47:14+0000,https://www.nytimes.com/2009/01/01/world/middleeast/01greenzone.html,World,By Campbell Robertson and Stephen Farrell
Back to Bare Ground,2009-01-01T01:48:27+0000,https://www.nytimes.com/2009/01/01/opinion/01thu4.html,Opinion,By Verlyn Klinkenborg
"Buying Less Expensive Wine, and More of It",2009-01-01T01:50:47+0000,https://www.nytimes.com/2009/01/01/business/01wine.html,Business Day,By Catherine Rampell
Cabbie Is Shot to Death on Duty in Coney Island,2009-01-01T01:51:59+0000,https://www.nytimes.com/2009/01/01/nyregion/01livery.html,New York,By Al Baker and Mick Meenan
Move to Increase Logging on Oregon Land,2009-01-01T02:01:10+0000,https://www.nytimes.com/2009/01/01/us/01owl.html,U.S.,By Felicity Barringer
The Evil Behind the Smiles,2009-01-01T02:04:09+0000,https://www.nytimes.com/2009/01/01/opinion/01kristof.html,Opinion,By Nicholas Kristof
Where Police Work Has a Tinge of Sci-Fi,2009-01-01T02:10:09+0000,https://www.nytimes.com/2009/01/01/nyregion/01roomsmet.html,New York,By Alan Feuer
"A Year Ticks Over, and Zunes Get Hiccups",2009-01-01T02:12:22+0000,https://www.nytimes.com/2009/01/01/technology/personaltech/01zune.html,Technology,By Jenna Wortham
Sen. Webb’s Call for Prison Reform,2009-01-01T02:14:42+0000,https://www.nytimes.com/2009/01/01/opinion/01thu3.html,Opinion,
New Year’s Day,2009-01-01T02:15:08+0000,https://www.nytimes.com/2009/01/01/nyregion/01holiday.html,New York,
"An Egyptian Border Town’s Commerce, Conducted via Tunnels, Comes to a Halt",2009-01-01T02:16:45+0000,https://www.nytimes.com/2009/01/01/world/middleeast/01rafah.html,World,By Steven Erlanger
Connecticut Bank Is Drawn Into Madoff Scandal,2009-01-01T02:20:58+0000,https://www.nytimes.com/2009/01/01/business/01madoff.html,Business Day,By Diana B. Henriques
Attacks Continue in Gaza Conflict,2009-01-01T02:22:52+0000,https://www.nytimes.com/video/world/1194836966568/attacks-continue-in-gaza-conflict.html,World,Emily B. Hager
City Settles Sex Harassment Case at Department for Aging,2009-01-01T02:32:17+0000,https://www.nytimes.com/2009/01/01/nyregion/01elder.html,New York,By Trymaine Lee
Lottery Numbers,2009-01-01T02:33:24+0000,https://www.nytimes.com/2009/01/01/nyregion/01lottery.html,New York,
Looking Out for Unique Possibilities,2009-01-01T02:34:44+0000,https://www.nytimes.com/2009/01/01/opinion/01letters.floater.html,Opinion,
In the Cold,2009-01-01T02:47:11+0000,https://www.nytimes.com/2009/01/01/opinion/01thu1.html,Opinion,
It’s Never the Owners’ Fault. Just Ask Them.,2009-01-01T02:47:30+0000,https://www.nytimes.com/2009/01/01/sports/football/01rhoden.html,Sports,By William C. Rhoden
"Striking Deep Into Israel, Hamas Employs an Upgraded Arsenal",2009-01-01T02:48:41+0000,https://www.nytimes.com/2009/01/01/world/middleeast/01rockets.html,World,By Mark Mazzetti
"On Clemency Fast Track, via the Oval Office",2009-01-01T02:58:11+0000,https://www.nytimes.com/2009/01/01/washington/01pardon.html,Washington,By Charlie Savage
Talk About Out of Touch,2009-01-01T02:58:19+0000,https://www.nytimes.com/2009/01/01/opinion/01thu2.html,Opinion,
Fans Who Can’t Get Enough Are Getting More,2009-01-01T02:59:41+0000,https://www.nytimes.com/2009/01/01/sports/baseball/01sandomir.html,Sports,By Richard Sandomir
"Besotted — Etymologically, That Is",2009-01-01T03:00:17+0000,https://proof.blogs.nytimes.com/2008/12/31/besotted-etymologically-that-is/,Opinion,By
"Besotted — Etymologically, That Is",2009-01-01T03:00:17+0000,https://proof.blogs.nytimes.com/2008/12/31/blogs/31proof-besotted61.html,Blogs,By IAIN GATELY
Who Opposed George Washington for President?,2009-01-01T03:00:38+0000,https://wordplay.blogs.nytimes.com/2008/12/31/z/,Crosswords & Games,By Jim Horne
"A Good Pick, or a Tainted One?",2009-01-01T03:00:44+0000,https://www.nytimes.com/2009/01/01/opinion/lweb01blago.html,Opinion,
Trip Down Memory Lane Becomes Weeklong Odyssey for Don Larsen,2009-01-01T03:03:17+0000,https://www.nytimes.com/2009/01/01/sports/baseball/01larsen.html,Sports,By Jack Curry
Holding the Line and More on the Penn State Sideline,2009-01-01T03:08:11+0000,https://www.nytimes.com/2009/01/01/sports/ncaafootball/01rose.html,Sports,By Billy Witz
Polished Treasures Guide Utah to Sugar Bowl,2009-01-01T03:09:23+0000,https://www.nytimes.com/2009/01/01/sports/ncaafootball/01sugar.html,Sports,By Ray Glier
Rutgers Gives No. 3 All It Can Handle,2009-01-01T03:11:11+0000,https://www.nytimes.com/2009/01/01/sports/ncaabasketball/01rutgers.html,Sports,By Bill Finley
A V-Necked Rival Is Dazzling on the Street,2009-01-01T03:13:01+0000,https://www.nytimes.com/2009/01/01/sports/basketball/01juicebox.html,Sports,By Jonathan Abrams
At Least 59 Die in Fire at Bangkok Nightclub,2009-01-01T03:16:53+0000,https://www.nytimes.com/2009/01/01/world/asia/01bangkok.html,World,By Seth Mydans
Correction,2009-01-01T03:17:03+0000,https://www.nytimes.com/2009/01/01/us/01correx-00.html,U.S.,
Correction,2009-01-01T03:17:41+0000,https://www.nytimes.com/2009/01/01/us/01correx-01.html,U.S.,
Correction,2009-01-01T03:23:29+0000,https://www.nytimes.com/2009/01/01/us/01correx-02.html,U.S.,
Correction,2009-01-01T03:25:43+0000,https://www.nytimes.com/2009/01/01/nyregion/01correx-03.html,New York,
Corrections,2009-01-01T03:26:42+0000,https://www.nytimes.com/2009/01/01/nyregion/01correx-04.html,New York,
Correction,2009-01-01T03:29:52+0000,https://www.nytimes.com/2009/01/01/sports/01correx-06.html,Sports,
"Pakistani Militants Admit Role in Siege, Official Says",2009-01-01T03:31:10+0000,https://www.nytimes.com/2009/01/01/world/asia/01pstan.html,World,By Richard A. Oppel Jr. and Salman Masood
Corrections,2009-01-01T03:32:01+0000,https://www.nytimes.com/2009/01/01/pageoneplus/corrections.html,Corrections,
"In Dense Gaza, Civilians Suffer",2009-01-01T03:37:03+0000,https://www.nytimes.com/2009/01/01/world/middleeast/01gaza.html,World,By Taghreed El-Khodary
Correction,2009-01-01T03:37:13+0000,https://www.nytimes.com/2009/01/01/business/01correx-05.html,Business Day,
"Paul Hofmann, Author and Foe of Nazis, Dies at 96",2009-01-01T03:43:17+0000,https://www.nytimes.com/2009/01/01/world/europe/01hofmann.html,World,By John Tagliabue
"Ted Lapidus, Designer Who Reshaped French Fashion, Is Dead at 79",2009-01-01T03:47:28+0000,https://www.nytimes.com/2009/01/01/world/europe/01lapidus.html,World,By William Grimes
Citigroup’s Top Executives to Forgo ’08 Bonuses,2009-01-01T04:01:20+0000,https://www.nytimes.com/2009/01/01/business/01pay.html,Business Day,By Eric Dash and Louise Story
"Looks Like a Library, but No Best Sellers",2009-01-01T05:00:00+0000,https://www.nytimes.com/2009/01/01/us/01cncpulse2.html,U.S.,
Test Memory for Errors,2009-01-01T05:00:00+0000,https://www.nytimes.com/2009/01/01/technology/personaltech/01askk.html,Technology,By J.D. BIERSDORFER
"Elaine Stritch on Life, Sex and Death",2009-01-01T05:00:00+0000,https://www.nytimes.com/video/theater/1194834046682/elaine-stritch.html,Theater,Erik Olsen
"Today 100 Years Ago: Friday, Jan. 1, 1909",2009-01-01T05:01:31+0000,https://timestraveler.blogs.nytimes.com/2009/01/01/today-100-years-ago-friday-jan-1-1909/,Blogs,By William S. Niederkorn
A Tear-Filled Firing,2009-01-01T06:13:25+0000,https://fifthdown.blogs.nytimes.com/2009/01/01/blogs/01fifthdown-tear-fil1869.html,Blogs,By TONI MONKOVIC
Tear-Filled Firing: Bowlen and Shanahan,2009-01-01T06:13:25+0000,https://fifthdown.blogs.nytimes.com/2009/01/01/tear-filled-firing-bowlen-and-shanahan/,Sports,By Toni Monkovic
Postscript,2009-01-01T06:21:39+0000,https://www.nytimes.com/2009/01/01/nyregion/01POSTSCRIPT.html,New York,
New York Rings in the New Year,2009-01-01T07:05:02+0000,https://www.nytimes.com/slideshow/2009/01/01/nyregion/0101-NEWYEARS_index.html,New York,
At Least 59 Die in Bangkok Club Fire,2009-01-01T07:26:53+0000,https://www.nytimes.com/2009/01/02/world/asia/02thai.html,World,By Seth Mydans
"In a Broadening Offensive, Israel Steps Up Diplomacy",2009-01-01T08:42:58+0000,https://www.nytimes.com/2009/01/02/world/middleeast/02mideast.html,World,By Isabel Kershner
Russia Cuts Off Gas Deliveries to Ukraine,2009-01-01T08:47:33+0000,https://www.nytimes.com/2009/01/02/world/europe/02gazprom.html,World,By Andrew E. Kramer
Your comments on my slavery column,2009-01-01T10:02:47+0000,https://kristof.blogs.nytimes.com/2009/01/01/your-comments-on-my-slavery-column/,Opinion,By Nicholas Kristof
Taliban Kill 20 Afghan Police,2009-01-01T10:51:26+0000,https://www.nytimes.com/2009/01/02/world/asia/02afghan.html,World,By Taimoor Shah
"At Knitting Factory, a Final Manhattan Show",2009-01-01T11:30:02+0000,https://www.nytimes.com/2009/01/01/arts/music/01knitting.html,Arts,By Ben Sisario
Bangover,2009-01-01T12:00:08+0000,https://schott.blogs.nytimes.com/2009/01/01/bangover/,Opinion,By BEN SCHOTT
Graphic Books Best-Seller List,2009-01-01T12:00:31+0000,https://artsbeat.blogs.nytimes.com/2009/01/01/graphic-books-best-seller-list-21/,Arts,By George Gene Gustines
The New Year’s Hangover,2009-01-01T12:00:34+0000,https://papercuts.blogs.nytimes.com/2009/01/01/blogs/01papercuts-your-bra947.html,Blogs,By BLAKE WILSON
Your Brain Is Going to Fall Out of Your Head,2009-01-01T12:00:34+0000,https://artsbeat.blogs.nytimes.com/2009/01/01/your-brain-is-going-to-fall-out-of-your-head/,Arts,By Blake Wilson
Renoviction,2009-01-01T12:08:46+0000,https://schott.blogs.nytimes.com/2009/01/01/renoviction/,Opinion,By BEN SCHOTT
"Confronting the Radical Past, in Film",2009-01-01T12:09:41+0000,https://ideas.blogs.nytimes.com/2009/01/01/confronting-the-radical-past-in-film/,Week in Review,By Tom Kuntz
Eine Kleine Ice Age Musik,2009-01-01T12:28:06+0000,https://ideas.blogs.nytimes.com/2009/01/01/eine-kleine-ice-age-musik/,Week in Review,By Tom Kuntz
The Eiffel Tower at 120,2009-01-01T13:20:04+0000,https://ideas.blogs.nytimes.com/2009/01/01/the-eiffel-tower-at-120/,Week in Review,By Tom Kuntz
Q & A: Picking a New Default Font in Word,2009-01-01T13:29:58+0000,https://gadgetwise.blogs.nytimes.com/2009/01/01/qa-picking-a-new-default-font-in-word/,Technology,By J.d. Biersdorfer
"Helen Suzman, Relentless Challenger of Apartheid System, Is Dead at 91",2009-01-01T13:44:14+0000,https://www.nytimes.com/2009/01/02/world/africa/02suzman.html,World,By John F. Burns and Alan Cowell
Utilities Offer ‘Green’ Nuclear,2009-01-01T14:28:12+0000,https://greeninc.blogs.nytimes.com/2009/01/01/blogs/01greeninc-utilitie795.html,Blogs,By JAMES KANTER
Utilities Offer ‘Green’ Nuclear Plans to Customers,2009-01-01T14:28:12+0000,https://green.blogs.nytimes.com/2009/01/01/utilities-offer-green-nuclear-plans-to-customers/,Science,By James Kanter
"If Favre Was Hurt, Why Not Use Clemens?",2009-01-01T14:38:48+0000,https://fifthdown.blogs.nytimes.com/2009/01/01/if-favre-was-hurt-why-not-clemens/,Sports,By Toni Monkovic
"After the Big Party, the Big Cleanup",2009-01-01T15:21:51+0000,https://www.nytimes.com/2009/01/02/nyregion/02cleanup.html,New York,By Robert Stolarik
The Early Word: New Year’s Day Edition,2009-01-01T15:36:11+0000,https://thecaucus.blogs.nytimes.com/2009/01/01/the-early-word-new-years-day-edition/,U.S.,By Michael Falcone
Tracking Buying Patterns With Surveillance Cameras,2009-01-01T15:44:15+0000,https://www.nytimes.com/2009/01/04/education/edlife/04BUSINESS1.html,Education,By Lisa Guernsey
Saving Hotels the Trouble of ‘Calling Around’,2009-01-01T15:51:53+0000,https://www.nytimes.com/2009/01/04/education/edlife/04business2.html,Education,By Lisa Guernsey
What to Do With Leftover Champagne,2009-01-01T16:15:08+0000,https://well.blogs.nytimes.com/2009/01/01/blogs/01well-what-to-757.html,Blogs,By TARA PARKER-POPE
What to Do With Leftover Champagne,2009-01-01T16:15:08+0000,https://well.blogs.nytimes.com/2009/01/01/what-to-do-with-leftover-champagne/,Health,By Tara Parker-Pope
Fabled Hawaii estate hits market priced at $80 million,2009-01-01T16:23:42+0000,https://raisingtheroof.blogs.nytimes.com/2009/01/01/fabled-hawaii-estate-hits-market-priced-at-80-million/,Real Estate,By Kevin Brass
Heart of U.S. Occupation Reverts to Iraqi Control,2009-01-01T16:26:47+0000,https://www.nytimes.com/2009/01/02/world/middleeast/02greenzone.html,World,By Campbell Robertson and Stephen Farrell
Cleaning Up After the Party,2009-01-01T16:35:01+0000,https://www.nytimes.com/slideshow/2009/01/01/nyregion/20090102CLEANUP_index.html,New York,
Jazz Listings,2009-01-01T16:55:19+0000,https://www.nytimes.com/2009/01/02/arts/music/02jazz.html,Arts,By Nate Chinen
Spare Times,2009-01-01T16:57:33+0000,https://www.nytimes.com/2009/01/02/arts/02spare.html,Arts,By The New York Times
Pop and Rock Listings,2009-01-01T16:58:50+0000,https://www.nytimes.com/2009/01/02/arts/music/02pop.html,Arts,"By Amanda Petrusich, Ben Sisario and Jon Pareles"
